"reference","title","description","image","in_book","order","module"
"introduction","Introduction","Découvrir le plan de formation","","true","0",""
"découvrire-html-css","Introduction à la Programmation Web","Apprenez le rôle crucial du HTML, CSS et JavaScript dans la création de pages web.","../images/image.png","true","1","introduction-programmation-web"
"apprendre-html","Développement de Sites Web Statiques avec HTML","","../images/image.png","true","2","base-html"
"apprendre-css","Développement de Sites Web Statiques avec CSS","","../images/image.png","true","3","base-css"
"apprendre-javascript","Programmation Web avec JavaScript","","../images/image.png","true","4","base-javascript"
"apprendre-php","Développement de Sites Web Dynamiques avec PHP","","../images/image.png","true","5","développement-sites-dynamiques-php"
"apprendre-sql","Création de Bases de Données avec SQL et MySQL","","../images/image.png","true","6","création-bases-données-sql-mysql"
"apprendre-laravel","Développement d’Applications Web avec Laravel","","../images/image.png","true","7","développement-applications-web-laravel"
"développement-web-laravel","Développement Professionnel d’Applications Web","","../images/image.png","true","8","développement-professionnel-applications-web-laravel"
"auto-apprentissage","Auto apprentissage","Liste des auto apprentissage","","true","9",""
